	Site Name	Type	Billing Address	Billing City	Billing State/Province	Billing Zip/Postal Code	Grant	# Full Time Slots	# Three Quarter Time Slots	# Half Time Slots	# Reduced Half Time Slots	# Quarter-Time Slots	# Minimum Time Slots	# Abbreviated Time Slots	full_address	googleMaps_lat_long	googleMaps_clean_address
39	Guerra Elementary School	Education-K thru 12	10010 N Via Fernandez	Edinburg	TX	78541	21-22 ChildFund International ACTX			2					10010 N Via Fernandez, Edinburg, TX 78541	(26.4012274, -98.15059869999999)	10010 N Via Fernandez, Edinburg, TX 78541, USA
40	Villarreal Elementary School	Education-K thru 12	4014 N Doolittle Rd	Edinburg	TX	78542	21-22 ChildFund International ACTX			2					4014 N Doolittle Rd, Edinburg, TX 78542	(26.3357028, -98.1186903)	4014 N Doolittle Rd, Edinburg, TX 78542, USA
41	Singleterry Elementary	Education-K thru 12	9113 Val Verde Rd	Donna	TX	78537	21-22 ChildFund International ACTX			2					9113 Val Verde Rd, Donna, TX 78537	(26.2442416, -98.07712579999999)	9113 Val Verde Rd, Donna, TX 78537, USA
42	Allison Elementary School	Education-K thru 12	515 Vargas Road	Austin	TX	78741-2455	21-22 Communities In Schools of Central Texas ACTX			1					515 Vargas Road, Austin, TX 78741-2455	(30.2357841, -97.6920353)	515 Vargas Rd, Austin, TX 78741, USA
43	Becker Elementary School	Education-K thru 12	906 W Milton St	Austin	TX	78704	21-22 Communities In Schools of Central Texas ACTX					3			906 W Milton St, Austin, TX 78704	(30.2503951, -97.75945399999999)	906 W Milton St, Austin, TX 78704, USA
44	Bedicheck Middle School	Education-K thru 12	6800 Bill Hughes Road	Austin	TX	78745-5605	21-22 Communities In Schools of Central Texas ACTX	2							6800 Bill Hughes Road, Austin, TX 78745-5605	(30.1952599, -97.787136)	6800 Bill Hughes Rd, Austin, TX 78745, USA
45	Bertha Sadler Means Middle School	Education-K thru 12	6401 N Hampton Dr	Austin	TX	78723-2042	21-22 Communities In Schools of Central Texas ACTX	1							6401 N Hampton Dr, Austin, TX 78723-2042	(30.3134991, -97.68050129999999)	6401 N Hampton Dr, Austin, TX 78723, USA
46	Blackshear Elementary School	Education-K thru 12	1712 E. 11th Street	Austin	TX	78702-2717	21-22 Communities In Schools of Central Texas ACTX	1				2			1712 E. 11th Street, Austin, TX 78702-2717	(30.2675855, -97.722894)	1712 E 11th St, Austin, TX 78702, USA
47	Burnet Middle School	Education-K thru 12	8401 Hathaway	Austin	TX	78757-7029	21-22 Communities In Schools of Central Texas ACTX	2				2			8401 Hathaway, Austin, TX 78757-7029	(30.3641563, -97.7244638)	8401 Hathaway Dr, Austin, TX 78757, USA
48	Communities In Schools Central Office	Nonprofit	3000 S IH 35	Austin	TX	78704	21-22 Communities In Schools of Central Texas ACTX					1			3000 S IH 35, Austin, TX 78704	(30.2273054, -97.7461563)	3000 S I-35 Frontage Rd, Austin, TX 78704, USA
49	Chapa Middle School	Education-K thru 12	3311 Dacy Ln	Kyle	TX	78640	21-22 Communities In Schools of Central Texas ACTX	1				1			3311 Dacy Ln, Kyle, TX 78640	(30.0210438, -97.8328009)	3311 Dacy Ln, Kyle, TX 78640, USA
50	Cook Elementary School	Education-K thru 12	1511 Cripple Creek Drive	Austin	TX	78758-5099	21-22 Communities In Schools of Central Texas ACTX	2							1511 Cripple Creek Drive, Austin, TX 78758-5099	(30.3772861, -97.70524669999999)	1511 Cripple Creek Dr, Austin, TX 78758, USA
51	Covington Middle School	Education-K thru 12	3700 Convict Hill Rd	Austin	TX	78749-2526	21-22 Communities In Schools of Central Texas ACTX	2							3700 Convict Hill Rd, Austin, TX 78749-2526	(30.2116026, -97.8346885)	3700 Convict Hill Rd, Austin, TX 78749, USA
52	Crockett Elementary School	Education-K thru 12	1300 Girard St	San Marcos	TX	78666-2813	21-22 Communities In Schools of Central Texas ACTX	1		1		1			1300 Girard St, San Marcos, TX 78666-2813	(29.8856852, -97.9614148)	1300 Girard St, San Marcos, TX 78666, USA
53	Crockett High School	Education-K thru 12	5601 Menchaca Rd	Austin	TX	78745	21-22 Communities In Schools of Central Texas ACTX					1			5601 Menchaca Rd, Austin, TX 78745	(30.2147211, -97.7974133)	5601 Menchaca Rd, Austin, TX 78745, USA
54	De Zavala Elementary School	Education-K thru 12	150 De Zavala Dr	San Marcos	TX	78666	21-22 Communities In Schools of Central Texas ACTX	1				1			150 De Zavala Dr, San Marcos, TX 78666	(29.8559553, -97.93540970000001)	150 De Zavala Dr, San Marcos, TX 78666, USA
55	Decker Elementary School	Education-K thru 12	8500 Decker Lane	Austin	TX	78724-2202	21-22 Communities In Schools of Central Texas ACTX	1							8500 Decker Lane, Austin, TX 78724-2202	(30.311318, -97.61675919999999)	8500 Decker Ln, Austin, TX 78724, USA
56	Dobie Middle School	Education-K thru 12	1200 E. Rundberg Lane	Austin	TX	78753-4934	21-22 Communities In Schools of Central Texas ACTX	2							1200 E. Rundberg Lane, Austin, TX 78753-4934	(30.3554045, -97.67933529999999)	1200 E Rundberg Ln, Austin, TX 78753, USA
57	Elgin Intermediate School	Education-K thru 12	902 West 2nd St	Elgin	TX	78621-2515	21-22 Communities In Schools of Central Texas ACTX	1				1			902 West 2nd St, Elgin, TX 78621-2515	(30.3481782, -97.37938659999999)	902 W 2nd St, Elgin, TX 78621, USA
58	Goodnight Middle School	Education-K thru 12	1301 TX-123	San Marcos	TX	78666-0000	21-22 Communities In Schools of Central Texas ACTX	2							1301 TX-123, San Marcos, TX 78666-0000	(29.8589336, -97.93740969999999)	1301 Texas Hwy 123, San Marcos, TX 78666, USA
59	Gus Garcia Young Mens Leadership Academy	Education-K thru 12	7414 Johnny Morris Road	Austin	TX	78724-2902	21-22 Communities In Schools of Central Texas ACTX	1							7414 Johnny Morris Road, Austin, TX 78724-2902	(30.3113969, -97.6430288)	7414 Johnny Morris Rd, Austin, TX 78724, USA
60	Harris Elementary School	Education-K thru 12	1711 Wheless Ln	Austin	TX	78723	21-22 Communities In Schools of Central Texas ACTX					1			1711 Wheless Ln, Austin, TX 78723	(30.31410319999999, -97.6919293)	1711 Wheless Ln, Austin, TX 78723, USA
61	Hart Elementary School	Education-K thru 12	8301 Furness	Austin	TX	78753-5826	21-22 Communities In Schools of Central Texas ACTX	1		1		1			8301 Furness, Austin, TX 78753-5826	(30.3425183, -97.6883671)	8301 Furness Dr, Austin, TX 78753, USA
62	Johnson High School	Education-K thru 12	4260 FM 967	Buda	TX	78610	21-22 Communities In Schools of Central Texas ACTX					1			4260 FM 967, Buda, TX 78610	(30.09557229999999, -97.8924188)	4260 FM 967, Buda, TX 78610, USA
63	Kealing Middle School	Education-K thru 12	1607 Pennsylvania Ave	Austin	TX	78702	21-22 Communities In Schools of Central Texas ACTX					1			1607 Pennsylvania Ave, Austin, TX 78702	(30.2711355, -97.72155749999999)	1607 Pennsylvania Ave, Austin, TX 78702, USA
64	Langford Elementary School	Education-K thru 12	2206 Blue Meadow	Austin	TX	78744-5016	21-22 Communities In Schools of Central Texas ACTX	1		1					2206 Blue Meadow, Austin, TX 78744-5016	(30.1828353, -97.7635504)	2206 Blue Meadow Dr, Austin, TX 78744, USA
65	Lively Middle School	Education-K thru 12	201 E Mary St	Austin	TX	78704-3554	21-22 Communities In Schools of Central Texas ACTX	1							201 E Mary St, Austin, TX 78704-3554	(30.243846, -97.75054039999999)	201 E Mary St, Austin, TX 78704, USA
66	Lockhart Junior High School	Education-K thru 12	500 City Line Rd	Lockhart	TX	78644-2572	21-22 Communities In Schools of Central Texas ACTX	1				1			500 City Line Rd, Lockhart, TX 78644-2572	(29.8745815, -97.7015778)	500 City Line Rd, Lockhart, TX 78644, USA
67	Metz-Sanchez Elementary School	Education-K thru 12	84 Robert T. Martinez Jr St	Austin	TX	78702-4551	21-22 Communities In Schools of Central Texas ACTX	1							84 Robert T. Martinez Jr St, Austin, TX 78702-4551	(30.2542842, -97.72172719999999)	84 Robert T Martinez Jr St, Austin, TX 78702, USA
68	Oak Springs Elementary School	Education-K thru 12	3601 Webberville Road	Austin	TX	78702-3008	21-22 Communities In Schools of Central Texas ACTX	1				1			3601 Webberville Road, Austin, TX 78702-3008	(30.2719146, -97.70454679999999)	3601 Webberville Rd, Austin, TX 78702, USA
69	Overton Elementary School	Education-K thru 12	7201 Colony Loop Dr	Austin	TX	78724-5348	21-22 Communities In Schools of Central Texas ACTX	1		1					7201 Colony Loop Dr, Austin, TX 78724-5348	(30.3001872, -97.6367011)	7201 Colony Loop Dr, Austin, TX 78724, USA
70	Perez Elementary School	Education-K thru 12	7500 S. Pleasant Valley Road	Austin	TX	78744-6412	21-22 Communities In Schools of Central Texas ACTX	2							7500 S. Pleasant Valley Road, Austin, TX 78744-6412	(30.170521, -97.7561855)	7500 S Pleasant Valley Rd, Austin, TX 78744, USA
71	Pickle Elementary School	Education-K thru 12	1101 Wheatley	Austin	TX	78752-1733	21-22 Communities In Schools of Central Texas ACTX	1							1101 Wheatley, Austin, TX 78752-1733	(30.33286349999999, -97.6938165)	1101 Wheatley Ave, Austin, TX 78752, USA
72	Rodriguez Elementary School	Education-K thru 12	4400 Franklin Park Drive	Austin	TX	78744-2929	21-22 Communities In Schools of Central Texas ACTX			1		2			4400 Franklin Park Drive, Austin, TX 78744-2929	(30.2006302, -97.7460627)	4400 Franklin Park Dr, Austin, TX 78744, USA
73	ShadowGlen Elementary School	Education-K thru 12	12000 Shadowglen Trace	Manor	TX	78653	21-22 Communities In Schools of Central Texas ACTX					1			12000 Shadowglen Trace, Manor, TX 78653	(30.3651603, -97.54071789999999)	12000 Shadowglen Trce, Manor, TX 78653, USA
74	Simon Middle School	Education-K thru 12	3839 E. FM 150	Kyle	TX	78640-6072	21-22 Communities In Schools of Central Texas ACTX	1							3839 E. FM 150, Kyle, TX 78640-6072	(29.9453779, -97.8288984)	3839 FM150 W, Kyle, TX 78640, USA
75	Strawn Elementary School	Education-K thru 12	9000 FM1854	Dale	TX	78616-2004	21-22 Communities In Schools of Central Texas ACTX			1					9000 FM1854, Dale, TX 78616-2004	(30.0017654, -97.6194867)	9000 FM1854, Dale, TX 78616, USA
76	Wallace Middle School	Education-K thru 12	1500 W. Center Road	Kyle	TX	78640-5644	21-22 Communities In Schools of Central Texas ACTX	1				1			1500 W. Center Road, Kyle, TX 78640-5644	(29.991646, -97.88925359999999)	1500 W Center St, Kyle, TX 78640, USA
77	Webb Middle School	Education-K thru 12	601 E St. Johns Ave	Austin	TX	78752	21-22 Communities In Schools of Central Texas ACTX					1			601 E St. Johns Ave, Austin, TX 78752	(30.3320636, -97.70738870000001)	601 E St Johns Ave, Austin, TX 78752, USA
78	Widen Elementary School	Education-K thru 12	5605 Nuckols Crossing Road	Austin	TX	 78744-4615	21-22 Communities In Schools of Central Texas ACTX	1				1			5605 Nuckols Crossing Road, Austin, TX 78744-4615	(30.188201, -97.7406518)	5605 Nuckols Crossing Rd, Austin, TX 78744, USA
79	Wooten Elementary School	Education-K thru 12	1406 Dale Dr	Austin	TX	78757-8310	21-22 Communities In Schools of Central Texas ACTX			1		2			1406 Dale Dr, Austin, TX 78757-8310	(30.3535065, -97.718885)	1406 Dale Dr, Austin, TX 78757, USA
80	Zavala Elementary School	Education-K thru 12	310 Robert T. Martinez Jr St	Austin	TX	78702-4536	21-22 Communities In Schools of Central Texas ACTX	1							310 Robert T. Martinez Jr St, Austin, TX 78702-4536	(30.2582433, -97.7198811)	310 Robert T Martinez Jr St, Austin, TX 78702, USA
81	Hodge Elementary School	Education-K thru 12	3900 Grant Pkwy.	Denton	TX	76208-3412	21-22 Communities In Schools of North Texas ACTX					1	1		3900 Grant Pkwy., Denton, TX 76208-3412	(33.250559, -97.08987139999999)	3900 Grant Pkwy, Denton, TX 76208, USA
82	Alexander Elementary School	Education-K thru 12	800 Mack Dr.	Denton	TX	76209-6314	21-22 Communities In Schools of North Texas ACTX					1	1		800 Mack Dr., Denton, TX 76209-6314	(33.219871, -97.1046487)	800 Mack Dr, Denton, TX 76209, USA
83	Rivera Elementary School	Education-K thru 12	701 Newton St.	Denton	TX	76205-6234	21-22 Communities In Schools of North Texas ACTX					1	1		701 Newton St., Denton, TX 76205-6234	(33.2071641, -97.1149295)	701 Newton St, Denton, TX 76205, USA
84	Calhoun Middle School	Education-K thru 12	709 W Congress St.	Denton	TX	76201-4011	21-22 Communities In Schools of North Texas ACTX					1	1		709 W Congress St., Denton, TX 76201-4011	(33.2190197, -97.1401022)	709 W Congress St, Denton, TX 76201, USA
85	Strickland Middle School	Education-K thru 12	324 E Windsor Dr.	Denton	TX	76209-8312	21-22 Communities In Schools of North Texas ACTX					1	1		324 E Windsor Dr., Denton, TX 76209-8312	(33.2431598, -97.1280299)	324 E Windsor Dr, Denton, TX 76209, USA
86	Evers Park Elementary School	Education-K thru 12	3300 Evers Pkwy.	Denton	TX	76207-7208	21-22 Communities In Schools of North Texas ACTX					1	1		3300 Evers Pkwy., Denton, TX 76207-7208	(33.2469344, -97.1341499)	3300 Evers Pkwy, Denton, TX 76207, USA
87	Central Elementary School	Education-K thru 12	400 High School Dr.	Lewisville	TX	75057-3635	21-22 Communities In Schools of North Texas ACTX					1	1		400 High School Dr., Lewisville, TX 75057-3635	(33.0392843, -96.99894689999999)	400 High School Dr, Lewisville, TX 75057, USA
88	Lakeland Elementary School	Education-K thru 12	800 Fox Ave.	Lewisville	TX	75067-4552	21-22 Communities In Schools of North Texas ACTX					1	1		800 Fox Ave., Lewisville, TX 75067-4552	(33.0335556, -97.0086237)	800 Fox Ave, Lewisville, TX 75067, USA
89	Lewisville Elementary School	Education-K thru 12	285 Country Ridge	Lewisville	TX	75067-7968	21-22 Communities In Schools of North Texas ACTX					1	1		285 Country Ridge, Lewisville, TX 75067-7968	(33.0229486, -96.99524009999999)	285 Country Ridge, Lewisville, TX 75067, USA
90	DeLay Middle School	Education-K thru 12	2103 Savage Ln.	Lewisville	TX	75057-2149	21-22 Communities In Schools of North Texas ACTX					1	1		2103 Savage Ln., Lewisville, TX 75057-2149	(33.0741817, -97.0194355)	2103 Savage Ln, Lewisville, TX 75057, USA
91	Bridgeport Elementary School	Education-K thru 12	1408 Elementary Dr.	Bridgeport	TX	76426-4100	21-22 Communities In Schools of North Texas ACTX					2			1408 Elementary Dr., Bridgeport, TX 76426-4100	(33.1973885, -97.7468201)	1408 Elementary Dr, Bridgeport, TX 76426, USA
92	Bridgeport Intermediate School	Education-K thru 12	1400 US Hwy 380	Bridgeport	TX	76426-2050	21-22 Communities In Schools of North Texas ACTX					1			1400 US Hwy 380, Bridgeport, TX 76426-2050	(33.2101155, -97.75475519999999)	Bridgeport, TX 76426, USA
93	Bridgeport Middle School	Education-K thru 12	702 17th St.	Bridgeport	TX	76426-3903	21-22 Communities In Schools of North Texas ACTX					1			702 17th St., Bridgeport, TX 76426-3903	(33.2050913, -97.7490258)	702 17th St, Bridgeport, TX 76426, USA
94	Bridgeport High School	Education-K thru 12	1 Maroon Dr.	Bridgeport	TX	76426-6741	21-22 Communities In Schools of North Texas ACTX					1			1 Maroon Dr., Bridgeport, TX 76426-6741	(33.2113931, -97.73883719999999)	1 Maroon St, Bridgeport, TX 76426, USA
95	Borman Elementary School	Education-K thru 12	1201 Parvin St.	Denton	TX	76205-6715	21-22 Communities In Schools of North Texas ACTX					10			1201 Parvin St., Denton, TX 76205-6715	(33.1900784, -97.14587069999999)	1201 Parvin St, Denton, TX 76205, USA
96	Ginnings Elementary School	Education-K thru 12	2525 Yellowstone Pl.	Denton	TX	76209-8602	21-22 Communities In Schools of North Texas ACTX					1			2525 Yellowstone Pl., Denton, TX 76209-8602	(33.2517819, -97.120796)	2525 Yellowstone Pl, Denton, TX 76209, USA
97	Myers Middle School	Education-K thru 12	131 N Garza Rd.	Shady Shores	TX	76208-5612	21-22 Communities In Schools of North Texas ACTX					1			131 N Garza Rd., Shady Shores, TX 76208-5612	(33.1620281, -97.0415676)	131 Garza Rd, Shady Shores, TX 76208, USA
98	Strickland Middle School	Education-K thru 12	324 E Windsor Dr.	Denton	TX	76209-8312	21-22 Communities In Schools of North Texas ACTX					1			324 E Windsor Dr., Denton, TX 76209-8312	(33.2431598, -97.1280299)	324 E Windsor Dr, Denton, TX 76209, USA
99	Denton High School	Education-K thru 12	1007 Fulton St.	Denton	TX	76201-2851	21-22 Communities In Schools of North Texas ACTX					2			1007 Fulton St., Denton, TX 76201-2851	(33.2246497, -97.14392699999999)	1007 Fulton St, Denton, TX 76201, USA
100	Ryan High School	Education-K thru 12	5101 E Mckinney St.	Denton	TX	76208-4630	21-22 Communities In Schools of North Texas ACTX					2			5101 E Mckinney St., Denton, TX 76208-4630	(33.211197, -97.0758577)	5101 E McKinney St, Denton, TX 76208, USA
101	Corinth Elementary School	Education-K thru 12	3501 Cliff Oaks Dr.	Corinth	TX	76210-1801	21-22 Communities In Schools of North Texas ACTX					2			3501 Cliff Oaks Dr., Corinth, TX 76210-1801	(33.1330213, -97.05379339999999)	3501 Cliff Oaks Dr, Corinth, TX 76210, USA
102	Lake Dallas Elementary School	Education-K thru 12	401 Main St.	Lake Dallas	TX	75065-2725	21-22 Communities In Schools of North Texas ACTX					2			401 Main St., Lake Dallas, TX 75065-2725	(33.1197272, -97.0244747)	401 Main St, Lake Dallas, TX 75065, USA
